اسم المصنع / المنشأة,الاسم بالإنجليزية,القطاع الصناعي,المنطقة الفرعية / المجمع الصناعي,حالة المطابقة مع CRM,الاسم المطابق في السيستم,رقم التليفون,الموقع الإلكتروني,العنوان التفصيلي,رابط Google Maps المباشر,خط العرض (Latitude),خط الطول (Longitude),التصنيف التقني Overture,المعرف الفرعي (Overture ID)
Kayan Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20235393166,—,الجيزة,"https://www.google.com/maps?q=30.082869,31.052834",30.082869,31.052834,corporate_office,2d03440a-4d0d-4df6-9ce2-b0e24cbc66fc
TVS Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+2015175,https://www.tvsmotor.com/ar/eg,الكيلو 28 طريق مصر الاسكندرية الصحراوى ابو رواش بجوار توكيل تويوتا ,"https://www.google.com/maps?q=30.082956,31.053516",30.082956,31.053516,auto_company,83d9b179-0a2d-48e6-9d12-bb2357a2ba2f
كرنو بلاستيك,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,02 35393280,http://www.krnopack.com,ك 28 طريق مصر - اسكندرية الصحراوى,"https://www.google.com/maps?q=30.089903,31.05224",30.089903,31.05224,plastic_company,478de972-1314-420b-9dca-905228ebbb35
BICC For Electric Cables,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201200900953,http://www.bicccables.com/,"Abu Ruweish, Giza Governorate, Egypt","https://www.google.com/maps?q=30.09,31.045624",30.09,31.045624,business_manufacturing_and_supply,b3c2c18f-dd47-4b3b-96cb-d15fd86149e4
Printopack,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201129988000,http://www.printopack-eg.com/,Unnamed Road,"https://www.google.com/maps?q=30.093248,31.022316",30.093248,31.022316,business_manufacturing_and_supply,0045912f-d425-4276-9a64-9f2862bbaf25
شركة حافظ وفريد لصناعة البلاستيك,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,02 35392454,https://www.faridplastics.com,القطعة 55 - - منطقة 75 فدان,"https://www.google.com/maps?q=30.091772,31.022274",30.091772,31.022274,plastic_company,83752630-dcfe-40e5-b554-b38d46d639d6
Univent Factory,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20233442857,https://www.univents.org/,الجيزة,"https://www.google.com/maps?q=30.0903,31.021862",30.0903,31.021862,industrial_equipment,4c83609e-72e3-4a57-8b8e-8c5aa512274b
DHT For Metal Industries,,حديد وصلب وألومنيوم وتشكيل معادن,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201025932069,—,"Industrial zone of Abo Rawash, 8 Cairo-Alex desert R","https://www.google.com/maps?q=30.089312,31.022545",30.089312,31.022545,metal_supplier,48acde79-3e7f-478b-bc4d-73f96af02596
العمار للاعمال المعدنية,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201001053103,—,"قطعة 92, منطقة ال75 فدان","https://www.google.com/maps?q=30.089609,31.023455",30.089609,31.023455,home_goods_store,46a1a44c-6a53-4333-821d-4b96790eb0d0
Sherif Baghdadi for Intermediate Industries,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201229202617,http://www.sherifbaghdadi.com/,Unnamed Road,"https://www.google.com/maps?q=30.090336,31.02375",30.090336,31.02375,chemical_plant,a7936254-7e9b-43d3-83b9-fe31871866b8
Travco abo Rawash,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,Travco Abou Rawash,"https://www.google.com/maps?q=30.090635,31.034447",30.090635,31.034447,transportation,c7ca13a6-3faa-4509-9554-e2b6e6319fdb
Auto Jameel Abu Rawash,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20235391968,—,السادس من اكتوبر,"https://www.google.com/maps?q=30.087973,31.032986",30.087973,31.032986,automotive_repair,60e8b567-3fda-48fb-830e-30bb8f80b80c
Ssangyong service center,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,5 ب منطقة الامتداد الكيلو 28 المنطقة الصناعية ابو رواش,"https://www.google.com/maps?q=30.084982,31.030186",30.084982,31.030186,automotive_repair,b4748018-0284-45f9-8c15-28cc03c0073c
توكيل رينو ابو رواش,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,www.renault.com.eg,ابو رواش,"https://www.google.com/maps?q=30.084568,31.031925",30.084568,31.031925,automotive_repair,c38e6ffa-bf5b-4dcf-bf48-111734812420
الشركة المصرية العالمية للسيارات - ماهيندرا,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,02 35391983,http://www.eim-eg.com,القطعة 977 - كم 28 - طريق القاهرة اسكندرية الصحراوى - المنطقة الصناعية,"https://www.google.com/maps?q=30.084024,31.031839",30.084024,31.031839,forestry_service,ce2a204a-5cfb-4fa8-9569-dcccfe5bcc85
Cummins Egypt - EiM,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201003497321,https://www.eim-eg.com/Cummins.aspx,Egyptian International Motors - Cummins ,"https://www.google.com/maps?q=30.08391,31.032084",30.08391,31.032084,energy_company,d26c1ce1-1cca-4da3-a2f9-ac12d57ba620
Hyundai Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+2016661,https://hyundai-egypt.net/,السادس من اكتوبر,"https://www.google.com/maps?q=30.08473,31.035133",30.08473,31.035133,car_dealer,a769cbcb-2218-4377-884b-b19892758a9c
Tractors Engineering Industries,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20235392978,http://www.tractorsgroup.com/,Suez Canal St. plot G97/109 administration building,"https://www.google.com/maps?q=30.083263,31.034607",30.083263,31.034607,business_manufacturing_and_supply,ad97ff9d-be90-489b-a6b1-0b2cf69444e9
Egyptian Automotive and Trading Company,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+2035391176,—,"Abo Rawash Ind. Zone (Behind The Smart Village) Kilo 28, Cairo-Alex Desert Road، 28","https://www.google.com/maps?q=30.080637,31.033827",30.080637,31.033827,automotive_repair,c2507777-bcba-4bab-84c8-de692a536dd5
United Group Integrated,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20235380196,https://linkin.bio/ugi,"Cairo Alexandria Dessert Road, Smart Village, Arc - B319-320","https://www.google.com/maps?q=30.081869,31.021269",30.081869,31.021269,engineering_services,d5a5a8ed-5cfd-4c3f-b510-3601a17850a0
Alu Afric,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201143228877,http://www.aluafric.net/,"Unnamed Road, Al Giza Desert, Giza Governorate, smart village, KM 28","https://www.google.com/maps?q=30.0868,31.027952",30.0868,31.027952,metal_supplier,355c7657-2f65-4e78-991a-916cc2461082
Egyptian for Steel Products Industries,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20235392967,http://www.espi-eg.com/,Unnamed Road,"https://www.google.com/maps?q=30.088499,31.02396",30.088499,31.02396,business_manufacturing_and_supply,8a8e03e2-7d7d-44cd-b3f3-abe6ee4e5974
misr steel,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20239100252,http://www.misrsteel.com/,الجيزة,"https://www.google.com/maps?q=30.088158,31.024616",30.088158,31.024616,metal_fabricator,d7f28c22-51b5-486c-9b9e-9d49e2c2bb67
أبو المجد للصناعات الخشبية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201022000283,—,امام بوابه 5 القريه الذكيه - ابو رواش - الجيزه,"https://www.google.com/maps?q=30.086853,31.024443",30.086853,31.024443,,e6ebf615-eee4-41e2-8862-73ccfc976b50
Kia Egypt,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201080017605,http://www.kia.com.eg/,"behind the, Km 28 Cairo-Alexandria Desert Road","https://www.google.com/maps?q=30.087975,31.021688",30.087975,31.021688,automotive_repair,ca83d8da-9fab-40d7-8eb0-ea11691d45b2
AMEX Car Maintenance Center,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201050806141,http://www.amex-auto.com/,الجيزة، مدخل ابو رواش ٢  اخر سور القرية الذكية.. الشارع بجانب توكيل القصراوي .. خلف توكيل كيا ..  موقع هوندا سابقًا ...,"https://www.google.com/maps?q=30.088989,31.022402",30.088989,31.022402,automotive_repair,d0884e5f-4710-4d10-9bb5-d22ce98695cd
توكيل هيما ابو رواش,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,طريق القاهرة - الإسكندرية الصحراوي،,"https://www.google.com/maps?q=30.088461,31.020948",30.088461,31.020948,automotive_repair,dca3a528-316e-49cc-ac0a-e8f4b9d1cfac
سينوفا القصراوى,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,www.senovaegypt.com,الجيزة,"https://www.google.com/maps?q=30.088846,31.020304",30.088846,31.020304,car_dealer,aae48009-63ce-4d40-a5ef-787a55b12d14
CONNEX Assistance,,أدوية ومستحضرات تجميل ومستلزمات طبية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,0233360005,http://www.connexassistance.com/,"3rd Floor, Building A, LINX Business Park, F5 F6, Smart Village","https://www.google.com/maps?q=30.082113,31.02071",30.082113,31.02071,b2b_medical_support_services,797d9606-0490-4d53-be5a-2840d1d0960e
Nacita Careers,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+2019725,http://www.NACITA.com/,Concordia B2111 Smart Village,"https://www.google.com/maps?q=30.080999,31.020763",30.080999,31.020763,transportation,6c24e9ef-9045-4dc5-a0c5-62c5d6d58350
دواجن الوطنية مصر - Alwatania Poultry Egypt,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+20238244613,http://alwatania-egy.com/,"B102 - A22 قطعة، القرية الذكية, Cairo - Alexandria Desert Rd","https://www.google.com/maps?q=30.07765,31.020731",30.07765,31.020731,eat_and_drink,a483b5a4-92fe-4d19-9adc-0ed44792bea1
ماجيستك موتورز majestic motors,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,http://majesticmotors.business.site/,17 شارع الطيران,"https://www.google.com/maps?q=30.079084,31.01672",30.079084,31.01672,car_dealer,74ff9ab6-453d-4d1e-bbf2-3c9502ca3683
Fawry Banking & Payment,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,Smart Village,"https://www.google.com/maps?q=30.081047,31.013206",30.081047,31.013206,industrial_equipment,98a582ce-6973-410a-a700-61d7d7d778d7
Egypt Trailers,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201003600079,—,الكيلو 32,"https://www.google.com/maps?q=30.088636,31.011652",30.088636,31.011652,business_manufacturing_and_supply,0d50f933-0d5b-4c69-bd09-67ac58e98e87
Tiger Marine Industries,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201019407000,http://www.tigermarinei.com/,No 2 Metallic Industries - 124 Feddan - Abu Rawash Industrial Zone,"https://www.google.com/maps?q=30.088518,31.011642",30.088518,31.011642,industrial_equipment,fd809fc4-e691-423c-a2b4-a2d0cbb30681
MetalX,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201103440720,—,"ابو رواش, قطعه 34, المنطقه الصناعيه","https://www.google.com/maps?q=30.090075,31.020351",30.090075,31.020351,powder_coating_service,816ee594-bf1f-4247-9578-5c5b0d57cb88
El-Dar Factory For Lifts,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201202000840,http://www.aldarelevators.com/,3rd Ind. Zone Ext.,"https://www.google.com/maps?q=30.090273,31.020224",30.090273,31.020224,elevator_service,24e28bfb-e549-407b-abb9-5e4a621626ce
First Group - Vegico,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201001478612,https://fgeco.squadcc.com/privacy-policy/,القطعة الخامسة - كم 32 - طريق القاهرة اسكندرية الصحراوى، المنطقة الصناعية - منط,"https://www.google.com/maps?q=30.082823,31.003519",30.082823,31.003519,industrial_equipment,c60942fe-0114-42c3-a91c-a17f9edc3e97
Infomedia,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201090555170,http://www.infomediaagency.com/,"Piazza 59, Office No. 8","https://www.google.com/maps?q=30.062151,31.002392",30.062151,31.002392,business_advertising,00108004-3df1-4809-991c-51e922bcdfd5
Protection for Contracting and Design,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+2037967251,https://protection-psc.com/prod/,الشيخ زايد,"https://www.google.com/maps?q=30.054293,30.994951",30.054293,30.994951,contractor,17ce5287-4022-43dc-b13c-9a28200f04dc
الصفوة سكيب,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201112464160,—,Cairo,"https://www.google.com/maps?q=30.059439,30.994833",30.059439,30.994833,construction_services,717be286-69f9-4a59-81d4-fcfcceaf7ffe
شركة المدائن للتشطيبات والمقاولات,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,الشيخ زايد,"https://www.google.com/maps?q=30.058634,30.987783",30.058634,30.987783,engineering_services,6423123a-d216-4494-b460-6e6ec3c8ac5c
المصرية الفرنسية  لقطع غيار سيارات الرينو الاصلية,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,2 شارع الشباب,"https://www.google.com/maps?q=30.054106,30.990005",30.054106,30.990005,auto_parts_and_supply_store,53b90bb5-ef3c-4699-b3f1-7dc3649c8355
أحمد الدمشقي للردتيرات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201143835345,—,سنتر الشباب,"https://www.google.com/maps?q=30.054312,30.989723",30.054312,30.989723,automotive_repair,5adcab6c-370e-4550-8c64-c461d1120ff3
العفيفي لكهرباء السيارات وشحن التكيف,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201201132901,—,Street 15,"https://www.google.com/maps?q=30.054335,30.989964",30.054335,30.989964,automotive_repair,96db7eb2-ac53-470b-8da8-771286b54b36
Tamayoz,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201021079210,—,"الحى 13 مجاورة 4 عمارة, Street 13","https://www.google.com/maps?q=30.054667,30.981289",30.054667,30.981289,interior_design,29b89190-f45a-4ab5-b326-6b4a1b1c0996
ونش رفع الاثاث في الشيخ زايد 01014368654 ونش رفع عفش,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),موجود بالفعل بالسيستم (تحديث/إثراء إحداثيات),شركة نقل عفش بالعاشر من رمضان 01014368654 ،شركات نقل اثاث,+201014368654,—,الشيخ زايد ,"https://www.google.com/maps?q=30.065599,30.987144",30.065599,30.987144,freight_and_cargo_service,10c3f604-dc94-4539-9597-b03e352f9f1d
محطه صرف قريه عبدالصمد,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,، عزبة محمود عبد الصمد، المنصورية، إمبابة،,"https://www.google.com/maps?q=30.114164,31.080055",30.114164,31.080055,construction_services,f6fec1f0-f15f-4b43-baf6-7d6d395941f9
Egypt Trac Co.,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201008499906,http://Egypttrac.com/,"Tera, Elmansouria","https://www.google.com/maps?q=30.10903,31.084562",30.10903,31.084562,rental_service,e15da5d7-e874-41ff-9a33-4a97aef9a62f
الاخوة ستيل Alekhwa steel,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201155355715,http://www.ekhwasteel.com/,Giza,"https://www.google.com/maps?q=30.101938,31.087021",30.101938,31.087021,industrial_company,54ca3414-ab92-4964-afca-700967d9871c
شركة أطلس لتوريد طفايات الحريق ومواد السلامة والأمان الصناعي,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201097558638,https://atlas-safety.business.site/,مدخل عبدالصمد، طريق المنصورية، الصليبة,"https://www.google.com/maps?q=30.10146,31.086819",30.10146,31.086819,fire_protection_service,2850afa4-0972-4a50-bae7-d6777878715f
جابى كرفان | مبانى مسبقة الصنع | مطاعم جاهزة | حاويات للبيع | كرفانات للبيع,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201114446615,https://ghabee.wixsite.com/house,الكيلو 28طريق مصر اسكندريه الصحراوي مدخل الصليبه بجوار سان جورج,"https://www.google.com/maps?q=30.10111,31.086679",30.10111,31.086679,mobile_home_dealer,81e1c89f-7dfc-4f87-a634-a2a4f398b4dc
مؤسسة عماد الجمل - للأدوات الصحية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201033834442,https://emadelgamal.com/,الجيزة / طريق المنصورية أول مدخل أوسيم ,"https://www.google.com/maps?q=30.105574,31.117975",30.105574,31.117975,contractor,e0059109-f82c-4151-951a-4b59afb5ec8b
النجار للكرفانات والحاويات ومنافذ البيع,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201001834167,https://elnajar0.wixsite.com/caravan,طريق المنصورية بعد مدخل كفر حكيم,"https://www.google.com/maps?q=30.08029,31.107161",30.08029,31.107161,mobile_home_dealer,f074332f-005e-4afb-ac01-c05049441d86
Tabi3y Farm,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201021210690,http://www.tabi3y.com/,Abdel Rahman Aly Basha Farm,"https://www.google.com/maps?q=30.095728,31.091028",30.095728,31.091028,fruits_and_vegetables,75d646e1-8df8-4fe0-8ef0-ce55b994f682
"الكينج ""للفيبر جلاس""",,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201080669405,https://kingfiberglass.wixsite.com/home,طريق المحور _ مدخل المنصورية ,"https://www.google.com/maps?q=30.09309,31.092007",30.09309,31.092007,construction_services,5bc6dd28-61b8-4130-9dbf-9493c7eab035
كرفانات للبيع - Al-Nada,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201011203058,https://alnadacaravan.com/,طريق مصر اسكندريه الصحراوي الكيلو 5 بجوار المتحف المصري الكبير,"https://www.google.com/maps?q=30.089293,31.093597",30.089293,31.093597,mobile_home_dealer,24164252-d5fe-49b9-9e42-5c7fb67330ca
كرفانات للبيع بيتكو كرفان,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201028584010,https://betco-eg.wixsite.com/caravan,ابورواش - المنطقة الصناعية,"https://www.google.com/maps?q=30.100292,31.078575",30.100292,31.078575,construction_services,463a693a-19a7-4c35-a6ed-9070f5d657e3
مركز التهامي لإصلاح وتجديد السيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201125043988,—,مدخل المنطقه الصناعيه ابو رواش، الصليبه طريق المنصوريه,"https://www.google.com/maps?q=30.09971,31.076422",30.09971,31.076422,automotive_repair,24de4a6b-0e15-467f-b451-660463437d84
AgriSafe,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201028055412,http://www.agrisafe-eg.com/,طريق الصليبية ابو رواش,"https://www.google.com/maps?q=30.099861,31.076288",30.099861,31.076288,agriculture,57ab83a4-4e51-4e3a-94f6-0b700086b5c2
Al Baydaa Arabians Eg,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,http://www.albaydaafarm.com/,Kerdasah,"https://www.google.com/maps?q=30.070433,31.082169",30.070433,31.082169,farm,78bb89c3-7527-45fb-8ae0-26acf8159f1f
كرفان الدوليه Igc,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201143031000,https://igccairo.wixsite.com/foodtruckrestaurant,"محور 26 يوليو , طريق مصر اسكندريه الصحراوي, المنطقة الصناعية ","https://www.google.com/maps?q=30.054642,31.072824",30.054642,31.072824,construction_services,36b16e30-2bfc-4e6c-b71c-34a6d0548822
المنارة - تصنيع الكرفانات الثابتة والمتحركة والحاويات,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201026257497,https://almanarah.wixsite.com/home,\nأكتوبر طريق مصر أسكندريه الصحراوي محور 26يوليو أمام نفق ڤودفون ,"https://www.google.com/maps?q=30.054834,31.074762",30.054834,31.074762,mobile_home_dealer,0c4d4538-63b5-40c7-998a-83fed138c3d5
كرفانات الفراعنة Pharaohs caravans,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201156206657,https://alfra3nacaravan.com/,ترعة المنصورية ,"https://www.google.com/maps?q=30.057175,31.07966",30.057175,31.07966,construction_services,ffd4a58d-b65f-4ae6-b35c-42297dec988b
Flex gas - عيد غاز,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,+201006760285,https://www.blogger.com/u/3/blog/posts/3098648062911833819?pli=1,شارع المدينة المنورة ,"https://www.google.com/maps?q=30.057524,31.08568",30.057524,31.08568,automotive_repair,0b1a0c7f-ad7e-4d42-bbcb-a0c785191e65
عطارة طيبة,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,—,46 ع شارع الخزان  بوابة حورس  حدائق الاهرام,"https://www.google.com/maps?q=30.056732,31.085806",30.056732,31.085806,commercial_industrial,4f256660-9f88-424a-a2b3-de7d635d655d
شركة كرفانات الخالد,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,01080674946,https://www.alkhaled-caravans.com/,Abu Rawash - Kirdasah - Giza - Egypt - 12676,"https://www.google.com/maps?q=30.058081,31.084827",30.058081,31.084827,mobile_home_dealer,71826ee6-bcaa-4058-ac46-5491f523f86e
Monginis Factory,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية بأبو رواش (القطاع الشمالي وطريق إسكندرية),مصنع جديد تماماً (حصري),—,—,https://monginisscakes.com/egypt/,Kafr Abū Ḩumaydah,"https://www.google.com/maps?q=30.061087,31.087711",30.061087,31.087711,commercial_industrial,332a6e21-a875-4a3f-bc1e-290c68dccbdb
